경찰청이름,주소
함평경찰서,전남 함평군  함평읍 중앙길 220
화순경찰서,전남 화순군 화순읍 자치샘로 29
해남경찰서,전남 해남군 해남읍 영빈로 61
경상북도경찰청,경북 안동시 풍천면 검무로 77
경산경찰서,경북 경산시 원효로 68
경주경찰서,경북 경주시 중앙로 63
고령경찰서,경북 고령군 고령읍 대가야로 1411
구미경찰서,경북 구미시 구미대로 350-19
군위경찰서,경북 군위군 군위읍 중앙길 74
김천경찰서,경북 김천시 혁신8로 8
문경경찰서,경북 문경시 매봉로 35
봉화경찰서,경북 봉화군 봉화읍 내성로 73
상주경찰서,경북 상주시 중앙로 230
성주경찰서,경북 성주군 성주읍 성주순환로 251
안동경찰서,경북 안동시 제비원로 103
영덕경찰서,경북 영덕군 영덕읍 남산1길 14
영양경찰서,경북 영양군 영양읍 영양창수로 135
영주경찰서,경북 영주시 영주로82번길 33
영천경찰서,경북 영천시 금호읍 최무선로 1
울릉경찰서,경북 울릉군 울릉읍 도동2길 62
예천경찰서,경북 예천읍 군청길 21
울진경찰서,경북 울진군 울진읍 울진중앙로 28
의성경찰서,경북 의성군 의성읍 홍술로 71-5
청도경찰서,경북 청도군 청도읍 새마을로 1362
청송경찰서,경북 청송군 청송읍 월막1길 5-15
칠곡경찰서,경북 칠곡군 약목면 칠곡대로 1050
포항남부경찰서,경북 포항시 남구 연일로 55
포항북부경찰서,경북 포항시 북구 삼흥로 370
경상남도경찰청,경남 창원시 의창구 상남로 289
거제경찰서,경남 거제시 진목1길 2
거창경찰서,경남 거창군 거창읍 중앙로 97
고성경찰서,경남 고성군 고성읍 중앙로 113
김해중부경찰서,경남 김해시 김해대로 2307
김해서부경찰서,경남 김해시 장유면 계동로 175
남해경찰서,경남 남해군 남해읍 화전로 89
마산동부경찰서,경남 창원시 마산회원구 합성남17길 56
마산중부경찰서,경남 창원시 마산합포구 3.15대로 147
밀양경찰서,경도 밀양시 상남면 밀양대로 1545
사천경찰서,경남 사천시 남일로 37
산청경찰서,경남 산청군 산청읍 중앙로 1
양산경찰서,경남 양산시 물금읍 신주4길 8
의령경찰서,경남 의령군 의령읍 충익로 53
진주경찰서,경남 진주시 비봉로24번길 3
진해경찰서,경남 창원시 진해구 진해대로 815
창녕경찰서,경남 창녕군 창녕읍 종로 38-6
창원서부경찰서,경남 창원시 의창구 우곡로 10
창원중부경찰서,경남 창원시 성산구 상남로 177
통영경찰서,경남 통영시 광도면 죽림3로 53
하동경찰서,경남 하동군 하동읍 경서대로 139
함안경찰서,경남 함안군 가야읍 가야로 85
함양경찰서,경남 함양군 함양읍 학사루길 12
합천경찰서,경남 합천군 합천읍 황강체육공원로 67
제주특별자치도경찰청,제주시 수목원 서길 37
서귀포경찰서,서귀포시 신중로 27
제주동부경찰서,제주시 동광로 66
제주서부경찰서,제주시 애월읍 애조로  215
